timestamp,first_player,winner,is_draw,first_move_position,move_sequence,num_moves,win_method
2025-05-20T10:52:26.437456,X,O,False,0,0-4-3-6-1-2,6,diag_anti
2025-05-20T10:52:26.440122,X,None,True,7,7-1-0-6-5-4-2-8-3,9,None
2025-05-20T10:52:26.448495,O,O,False,0,0-6-1-4-2,5,row_1
2025-05-20T10:52:26.451174,X,O,False,2,2-4-3-0-6-1-8-7,8,col_2
2025-05-20T10:52:26.453928,X,None,True,7,7-1-2-6-3-4-0-5-8,9,None
2025-05-20T10:52:26.456542,X,O,False,7,7-1-4-0-6-2,6,row_1
2025-05-20T10:52:26.459131,X,None,True,1,1-0-4-7-3-5-6-2-8,9,None
2025-05-20T10:52:26.461748,X,None,True,7,7-1-3-6-2-4-0-5-8,9,None
2025-05-20T10:52:26.464333,X,None,True,1,1-0-6-4-8-7-5-2-3,9,None
2025-05-20T10:52:26.472847,O,O,False,0,0-1-3-6-4-8-5,7,row_2
2025-05-20T10:52:26.476217,X,O,False,1,1-0-7-4-8-6-5-2,8,diag_anti
2025-05-20T10:52:26.479082,X,O,False,3,3-0-5-4-7-1-6-2,8,row_1
2025-05-20T10:52:26.488263,O,O,False,0,0-1-3-7-4-2-5,7,row_2
2025-05-20T10:52:26.497184,O,O,False,0,0-4-1-7-2,5,row_1
2025-05-20T10:52:26.505831,O,O,False,0,0-8-2-7-1,5,row_1
2025-05-20T10:52:26.508604,X,O,False,6,6-4-7-8-2-0,6,diag_main
2025-05-20T10:52:26.511707,X,O,False,8,8-4-0-1-3-6-5-2,8,diag_anti
2025-05-20T10:52:26.515102,X,O,False,7,7-1-4-0-6-2,6,row_1
2025-05-20T10:52:26.523387,O,O,False,0,0-6-1-7-2,5,row_1
2025-05-20T10:52:26.532270,O,O,False,0,0-8-2-7-1,5,row_1
2025-05-20T10:52:26.540608,O,O,False,0,0-1-3-5-4-8-6,7,col_1
2025-05-20T10:52:26.549614,O,O,False,0,0-2-3-1-4-8-5,7,row_2
2025-05-20T10:52:26.558423,O,O,False,0,0-4-1-7-2,5,row_1
2025-05-20T10:52:26.567034,O,O,False,0,0-1-3-6-4-5-8,7,diag_main
2025-05-20T10:52:26.575758,O,O,False,0,0-6-1-2-4-7-8,7,diag_main
2025-05-20T10:52:26.578635,X,None,True,8,8-4-7-6-2-5-3-0-1,9,None
2025-05-20T10:52:26.587046,O,O,False,0,0-4-1-7-2,5,row_1
2025-05-20T10:52:26.590322,X,O,False,1,1-0-3-4-6-8,6,diag_main
2025-05-20T10:52:26.592990,X,None,True,4,4-0-6-2-1-7-5-3-8,9,None
2025-05-20T10:52:26.601400,O,O,False,0,0-2-3-4-6,5,col_1
2025-05-20T10:52:26.610206,O,O,False,0,0-6-1-4-2,5,row_1
2025-05-20T10:52:26.613081,X,O,False,5,5-2-6-0-8-1,6,row_1
2025-05-20T10:52:26.621767,O,O,False,0,0-3-1-7-2,5,row_1
2025-05-20T10:52:26.624703,X,O,False,6,6-4-7-8-2-0,6,diag_main
2025-05-20T10:52:26.627433,X,O,False,6,6-4-1-0-7-8,6,diag_main
2025-05-20T10:52:26.630563,X,O,False,5,5-2-6-0-8-1,6,row_1
2025-05-20T10:52:26.633763,X,O,False,1,1-0-2-3-4-6,6,col_1
2025-05-20T10:52:26.642224,O,O,False,0,0-6-1-7-2,5,row_1
2025-05-20T10:52:26.651602,O,O,False,0,0-4-1-6-2,5,row_1
